root_bw,root_ar,sura,sura_name,sura_type,count
bgy,ب-غ-ي,92,الليل,meccan,1
Tgy,ط-غ-ي,2,البقرة,medinan,3
Tgy,ط-غ-ي,4,النساء,medinan,3
Tgy,ط-غ-ي,5,المائدة,medinan,3
Tgy,ط-غ-ي,6,الأنعام,meccan,1
Tgy,ط-غ-ي,7,الأعراف,meccan,1
Tgy,ط-غ-ي,10,يونس,meccan,1
Tgy,ط-غ-ي,11,هود,meccan,1
Tgy,ط-غ-ي,16,النحل,meccan,1
Tgy,ط-غ-ي,17,الإسراء,meccan,1
Tgy,ط-غ-ي,18,الكهف,meccan,1
Tgy,ط-غ-ي,20,طه,meccan,4
Tgy,ط-غ-ي,23,المؤمنون,meccan,1
Tgy,ط-غ-ي,37,الصافات,meccan,1
Tgy,ط-غ-ي,38,ص,meccan,1
Tgy,ط-غ-ي,39,الزمر,meccan,1
Tgy,ط-غ-ي,50,ق,meccan,1
Tgy,ط-غ-ي,51,الذاريات,meccan,1
Tgy,ط-غ-ي,52,الطور,meccan,1
Tgy,ط-غ-ي,53,النجم,meccan,2
Tgy,ط-غ-ي,55,الرحمن,medinan,1
Tgy,ط-غ-ي,68,القلم,meccan,1
Tgy,ط-غ-ي,69,الحاقة,meccan,2
Tgy,ط-غ-ي,78,النبإ,meccan,1
Tgy,ط-غ-ي,79,النازعات,meccan,2
Tgy,ط-غ-ي,89,الفجر,meccan,1
Tgy,ط-غ-ي,91,الشمس,meccan,1
Tgy,ط-غ-ي,96,العلق,meccan,1
Etw,ع-ت-و,7,الأعراف,meccan,2
Etw,ع-ت-و,19,مريم,meccan,2
Etw,ع-ت-و,25,الفرقان,meccan,2
Etw,ع-ت-و,51,الذاريات,meccan,1
Etw,ع-ت-و,65,الطلاق,medinan,1
Etw,ع-ت-و,67,الملك,meccan,1
Etw,ع-ت-و,69,الحاقة,meccan,1
$nA,ش-ن-أ,5,المائدة,medinan,2
$nA,ش-ن-أ,108,الكوثر,meccan,1
jrm,ج-ر-م,5,المائدة,medinan,2
jrm,ج-ر-م,6,الأنعام,meccan,4
jrm,ج-ر-م,7,الأعراف,meccan,3
jrm,ج-ر-م,8,الأنفال,medinan,1
jrm,ج-ر-م,9,التوبة,medinan,1
jrm,ج-ر-م,10,يونس,meccan,5
jrm,ج-ر-م,11,هود,meccan,6
jrm,ج-ر-م,12,يوسف,meccan,1
jrm,ج-ر-م,14,ابراهيم,meccan,1
jrm,ج-ر-م,15,الحجر,meccan,2
jrm,ج-ر-م,16,النحل,meccan,3
jrm,ج-ر-م,18,الكهف,meccan,2
jrm,ج-ر-م,19,مريم,meccan,1
jrm,ج-ر-م,20,طه,meccan,2
